Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
474635386,-35.13142603,0.0175157484,99.61555937,-620.3844406,-58.25872175,0.001221979478,126.0765666,-80513.92343,-58.30296086,0.001215771497,128.1145315,-80511.88547,-33.45723334,0.02123920874,101.0812965,-258.9187035,
475123167,-34.9749171,0.01783422103,99.53551454,-620.4644855,-57.76676572,0.001293188143,35.50481688,-80604.49518,-57.96695046,0.001263724709,37.36210528,-80602.63789,-33.52777986,0.02106740321,101.4818941,-258.5181059,
475610948,-34.79711872,0.0182030459,99.26825439,-620.7317456,-56.92817123,0.001424267088,-46.83698829,-80686.83699,-57.0472921,0.001404867595,-45.87043838,-80685.87044,-33.58651256,0.02092542907,102.0867883,-257.9132117,
476098729,-34.62051531,0.01857694239,98.38193922,-621.6180608,-56.69098221,0.001463696012,-125.0874062,-80765.08741,-56.71412378,0.001459801519,-123.9383781,-80763.93838,-33.61740271,0.0208511429,102.7586053,-257.2413947,
476586510,-34.51242886,0.01880955655,96.94181922,-623.0581808,-57.01698164,0.001409778613,154.9021585,-80845.09784,-57.04187607,0.001405743865,157.0351222,-80842.96488,-33.64270809,0.02079048379,103.4796153,-256.5203847,
477074291,-34.53638528,0.01875774967,95.33387202,-624.666128,-57.45840331,0.001339922977,71.33844418,-80928.66156,-57.59062772,0.001319679937,73.31501869,-80926.68498,-33.64646769,0.02078148678,104.3753649,-255.6246351,
477562072,-34.64755533,0.01851920049,93.93033638,-626.0696636,-57.53914098,0.001327525741,-13.84967207,-81013.84967,-57.69858473,0.001303379132,-12.7039366,-81012.70394,-33.60162074,0.02088906317,105.3576088,-254.6423912,
478049853,-34.81060431,0.01817480603,93.2656491,-626.7343509,-57.4026336,0.001348553934,-97.80512476,-81097.80512,-57.42558969,0.001344994522,-96.74448689,-81096.74449,-33.5141824,0.02110040931,106.3430568,-253.6569432,
478537634,-34.93092248,0.01792478174,93.1685736,-626.8314264,-57.25565824,0.001371567191,-179.8561524,-81179.85615,-57.27406715,0.001368663364,-177.9748201,-81177.97482,-33.38680184,0.02141213181,107.2126278,-252.7873722,
479025415,-34.95344043,0.01787837236,93.30058324,-626.6994168,-57.34290057,0.001357859926,98.56014458,-81261.43986,-57.45385575,0.001340624687,100.5976049,-81259.4024,-33.21937037,0.02182888141,107.8309269,-252.1690731,
479513196,-34.90114122,0.0179863458,92.8945742,-627.1054258,-57.54873887,0.001326059639,16.34615573,-81343.65384,-57.73983206,0.001297204352,18.11079489,-81341.88921,-33.04654639,0.02226756252,108.228816,-251.771184,
480000977,-34.83735475,0.01811891813,91.87205242,-628.1279476,-57.83136764,0.001283605643,-67.39454285,-81427.39454,-57.92616628,0.001269672421,-66.64415668,-81426.64416,-32.86678827,0.02273320071,108.5397825,-251.4602175,
480488758,-34.82586255,0.01814290691,90.33724854,-629.6627515,-57.92324773,0.001270099115,-153.1107658,-81513.11077,-57.96822848,0.001263538782,-151.4087141,-81511.40871,-32.65722427,0.02328835358,108.6222698,-251.3777302,
